"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpy,2006,544476088,271423,96.4493186286202
hipLaunchKernel,3002,8138170,2710,1.4416077559385456
hipFree,3006,3863788,1285,0.6844372565456708
hipMalloc,3006,3658715,1217,0.6481103148212308
hipGetLastError,7010,2266226,323,0.40144270497047696
__hipPopCallConfiguration,3002,1063606,354,0.1884087772635338
__hipPushCallConfiguration,3002,1048175,349,0.18567530655920006
hipGetDeviceProperties,1,3246,3246,0.0005750013548225854
hipGetDevice,1,2395,2395,0.00042425392630933206
