"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpy,2006,522764744,260600,93.42754515136994
hipLaunchKernel,3002,14045651,4678,2.5102126875313617
hipFree,3006,7339390,2441,1.3116821638769753
hipMalloc,3006,6830973,2272,1.2208188209136173
hipGetLastError,7010,4434686,632,0.7925588541547633
__hipPopCallConfiguration,3002,2075850,691,0.3709920606322895
__hipPushCallConfiguration,3002,2043221,680,0.3651606662895523
hipGetDeviceProperties,1,3186,3186,0.0005693960089478884
hipGetDevice,1,2575,2575,0.00046019922254890547
