"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"void devDegridKernel<64>(HIP_vector_type<float, 2u> const*, int, HIP_vector_type<float, 2u> const*, int const*, int const*, int const*, HIP_vector_type<float, 2u>*, int) [clone .kd]",0,0,0,3248819,3248819,0,1024,8704,0,20,40,0,0x0,0x14575360a8c0,13861151319790716,13861151319838745,13861160422651978,13861160422778150,9102813233
1,"void devDegridKernel<64>(HIP_vector_type<float, 2u> const*, int, HIP_vector_type<float, 2u> const*, int const*, int const*, int const*, HIP_vector_type<float, 2u>*, int) [clone .kd]",0,0,1,3248819,3248819,0,1024,8704,0,20,40,0,0x0,0x14575360a8c0,13861151319839206,13861160422648873,13861169611004441,13861169611114203,9188355568
2,"void devDegridKernel<64>(HIP_vector_type<float, 2u> const*, int, HIP_vector_type<float, 2u> const*, int const*, int const*, int const*, HIP_vector_type<float, 2u>*, int) [clone .kd]",0,0,2,3248819,3248819,0,1024,8704,0,20,40,0,0x0,0x14575360a8c0,13861151319850006,13861169611004676,13861178848901713,13861178849012926,9237897037
3,"void devDegridKernel<64>(HIP_vector_type<float, 2u> const*, int, HIP_vector_type<float, 2u> const*, int const*, int const*, int const*, HIP_vector_type<float, 2u>*, int) [clone .kd]",0,0,3,3248819,3248819,0,1024,8704,0,20,40,0,0x0,0x14575360a8c0,13861151319860456,13861178848889863,13861188130582330,13861188130693812,9281692467
